"ID_Banco";"Nombre";"Sede"
"1";"Banco Santander";"Santander"
"2";"Barclays";"Londres"
"3";"BNP Paribas";"Paris"
"4";"Crédit Agricole";"Paris"
"5";"UBS";"Zürich"
"6";"Deutsche Bank";"Frankfurt"
"7";"Lloyds Banking Group";"Londres"
"8";"Intensa Sanpaolo";"Turin"
"9";"Banco Bilbao";"Bilbao"
"10";"Rabobank";"Utrecht"
"11";"DZ Bank";"Frankfurt"
"12";"Banco Nacional Checo";"Praga"
