"ID_Pais";"Nombre";"Poblacion";"ID_Divisa"
"1";"España";"47.00";"1"
"2";"Reino Unido";"67.00";"2"
"3";"Alemania";"83.20";"1"
"4";"Polonia";"37.75";"4"
"5";"República Checa";"10.51";"5"
"6";"Francia";"67.75";"1"
"7";"Paises Bajos";"17.53";"1"
"8";"Suiza";"8.70";"3"
"9";"Noruega";"5.40";"6"
"10";"Suecia";"10.42";"7"
"11";"Italia";"59.11";"1"
"12";"Grecia";"10.64";"1"
